domain,name,type,title,title_t,help,help_t
com.axelor.wkf.db.node.message.socialnetwork.IntermediateFacebookEvent,privateMessage,field,,私有消息？,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateFacebookEvent,targetPage,field,,目标页面,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateLinkedinEvent,name,field,,名称,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateLinkedinEvent,type,field,,类型,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateLinkedinEvent,action,field,,Action,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateLinkedinEvent,operator,field,,逻辑运算符,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateLinkedinEvent,startTransitions,field,,开始翻译,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateLinkedinEvent,endTransitions,field,,结束翻译,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateLinkedinEvent,description,field,,Description,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateLinkedinEvent,ref,field,,参照,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateLinkedinEvent,account,field,,Compte,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateLinkedinEvent,persist,field,,持久化？,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateLinkedinEvent,template,field,,模板,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateLinkedinEvent,templateModel,field,,模型模板,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateLinkedinEvent,privateMessage,field,,私有消息？,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateTwitterEvent,name,field,,名称,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateTwitterEvent,type,field,,类型,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateTwitterEvent,action,field,,Action,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateTwitterEvent,operator,field,,逻辑运算符,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateTwitterEvent,startTransitions,field,,开始翻译,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateTwitterEvent,endTransitions,field,,结束翻译,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateTwitterEvent,description,field,,Description,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateTwitterEvent,ref,field,,参照,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateTwitterEvent,account,field,,Compte,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateTwitterEvent,persist,field,,持久化？,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateTwitterEvent,template,field,,模板,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateTwitterEvent,templateModel,field,,模型模板,,
com.axelor.wkf.db.node.message.socialnetwork.IntermediateTwitterEvent,privateMessage,field,,私有消息？,,
com.axelor.wkf.db.node.FilterEvent,name,field,,名称,,
com.axelor.wkf.db.node.FilterEvent,type,field,,类型,,
com.axelor.wkf.db.node.FilterEvent,action,field,,Action,,
com.axelor.wkf.db.node.FilterEvent,operator,field,,逻辑运算符,,
com.axelor.wkf.db.node.FilterEvent,startTransitions,field,,开始翻译,,
com.axelor.wkf.db.node.FilterEvent,endTransitions,field,,结束翻译,,
com.axelor.wkf.db.node.FilterEvent,description,field,,Description,,
com.axelor.wkf.db.node.FilterEvent,ref,field,,参照,,
com.axelor.wkf.db.node.FilterEvent,filter,field,,Filtre,,
com.axelor.wkf.db.node.StopFilterEvent,name,field,,名称,,
com.axelor.wkf.db.node.StopFilterEvent,type,field,,类型,,
com.axelor.wkf.db.node.StopFilterEvent,action,field,,Action,,
com.axelor.wkf.db.node.StopFilterEvent,operator,field,,逻辑运算符,,
com.axelor.wkf.db.node.StopFilterEvent,startTransitions,field,,开始翻译,,
com.axelor.wkf.db.node.StopFilterEvent,endTransitions,field,,结束翻译,,
com.axelor.wkf.db.node.StopFilterEvent,description,field,,Description,,
com.axelor.wkf.db.node.StopFilterEvent,ref,field,,参照,,
com.axelor.wkf.db.Gateway,name,field,,名称,,
com.axelor.wkf.db.Gateway,type,field,,类型,,
com.axelor.wkf.db.Gateway,action,field,,Action,,
com.axelor.wkf.db.Gateway,operator,field,,逻辑运算符,,
com.axelor.wkf.db.Gateway,startTransitions,field,,开始翻译,,
com.axelor.wkf.db.Gateway,endTransitions,field,,结束翻译,,
com.axelor.wkf.db.Gateway,description,field,,Description,,
com.axelor.wkf.db.Gateway,ref,field,,参照,,
com.axelor.wkf.db.node.gateway.InclusiveGateway,name,field,,名称,,
com.axelor.wkf.db.node.gateway.InclusiveGateway,type,field,,类型,,
com.axelor.wkf.db.node.gateway.InclusiveGateway,action,field,,Action,,
com.axelor.wkf.db.node.gateway.InclusiveGateway,operator,field,,逻辑运算符,,
com.axelor.wkf.db.node.gateway.InclusiveGateway,startTransitions,field,,开始翻译,,
com.axelor.wkf.db.node.gateway.InclusiveGateway,endTransitions,field,,结束翻译,,
com.axelor.wkf.db.node.gateway.InclusiveGateway,description,field,,Description,,
com.axelor.wkf.db.node.gateway.InclusiveGateway,ref,field,,参照,,
com.axelor.wkf.db.node.gateway.ExclusiveGateway,name,field,,名称,,
com.axelor.wkf.db.node.gateway.ExclusiveGateway,type,field,,类型,,
com.axelor.wkf.db.node.gateway.ExclusiveGateway,action,field,,Action,,
com.axelor.wkf.db.node.gateway.ExclusiveGateway,operator,field,,逻辑运算符,,
com.axelor.wkf.db.node.gateway.ExclusiveGateway,startTransitions,field,,开始翻译,,
com.axelor.wkf.db.node.gateway.ExclusiveGateway,endTransitions,field,,结束翻译,,
com.axelor.wkf.db.node.gateway.ExclusiveGateway,description,field,,Description,,
com.axelor.wkf.db.node.gateway.ExclusiveGateway,ref,field,,参照,,
com.axelor.wkf.db.node.gateway.ParallelGateway,name,field,,名称,,
com.axelor.wkf.db.node.gateway.ParallelGateway,type,field,,类型,,
com.axelor.wkf.db.node.gateway.ParallelGateway,action,field,,Action,,
com.axelor.wkf.db.node.gateway.ParallelGateway,operator,field,,逻辑运算符,,
com.axelor.wkf.db.node.gateway.ParallelGateway,startTransitions,field,,开始翻译,,
com.axelor.wkf.db.node.gateway.ParallelGateway,endTransitions,field,,结束翻译,,
com.axelor.wkf.db.node.gateway.ParallelGateway,description,field,,Description,,
com.axelor.wkf.db.node.gateway.ParallelGateway,ref,field,,参照,,
com.axelor.wkf.db.Transition,startNode,field,Start node,起始节点,,
com.axelor.wkf.db.Transition,nextNode,field,Next node,下一个节点,,
com.axelor.wkf.db.Transition,name,field,Name,名称,,
com.axelor.wkf.db.Transition,condition,field,Condition,Condition,,
com.axelor.wkf.db.Transition,sequence,field,Sequence,顺序,,
com.axelor.wkf.db.Transition,description,field,Description,Description,,
com.axelor.wkf.db.Transition,signal,field,Signam,信号,,
com.axelor.wkf.db.Transition,role,field,Role,角色,,
com.axelor.wkf.db.Transition,ref,field,Ref,参照,,
node.logic.operator.selection,,select,,,,
node.logic.operator.selection,parallel,select,AND,ET,,
node.logic.operator.selection,inclusive,select,OR,或,,
node.logic.operator.selection,exclusive,select,XOR,XOR,,
node.type.selection,startEvent,select,Start event,Démarrer,,
node.type.selection,activity,select,Activity,Activité,,
node.type.selection,endEvent,select,End event,Arrêt,,
node.type.selection,gateway,select,Gateway,网关,,
node.type.selection,message,select,Message,消息,,
node.type.selection,timer,select,Timer,定时器,,
node.type.selection,filterEvent,select,Filter,Filtre,,
node.type.selection,stopFilterEvent,select,Stop Filter,Fin filtre,,
node.message.type.selection,email,select,E-mail,E-mail,,
node.message.type.selection,mail,select,Mail,Courrier,,
node.message.type.selection,phoneCall,select,Phone call,Appel téléphonique,,
node.message.type.selection,sms,select,SMS,参照,,
node.message.type.selection,internetSite,select,Internet site,网站,,
node.message.type.selection,socialNetwork,select,Social network,社交网络,,
node.social.network.selection,facebook,select,Facebook,Facebook,,
node.social.network.selection,linkedin,select,Linkedin,Linkedin,,
node.social.network.selection,twitter,select,Twitter,Twitter,,
com.axelor.wkf.db.Transition,end-transition-form,form,Transition,翻译,,
end-transition-form,,separator,Description,Description,,
com.axelor.wkf.db.Transition,end-transition-grid,grid,Transitions,翻译,,
